config,rpm,AoA,CL,CLvar
plate,300.0,1.0,0.31342747567951396,8.523500613743498e-06
plate,300.0,2.0,0.39188661036699085,5.146287077046005e-06
plate,300.0,3.0,0.46924481309535376,6.931140102062549e-06
plate,300.0,4.0,0.5449252580668448,5.36011681366707e-06
plate,300.0,5.0,0.6279133104538339,4.906237485189865e-06
plate,300.0,6.0,0.7012055270594761,7.654739785387148e-06
plate,300.0,7.0,0.7738373942155599,5.575066222156864e-06
plate,300.0,8.0,0.8452503011724286,8.1904431401039e-06
plate,300.0,9.0,0.9149788406231681,6.48005069850506e-06
plate,300.0,10.0,0.9775738337513263,9.36987111440523e-06
plate,300.0,11.0,1.036147808650405,4.418027003637675e-06
plate,300.0,12.0,1.0835513313129286,4.5078872398078505e-06
plate,300.0,13.0,1.127731171900462,4.234038169438508e-06
plate,300.0,14.0,1.1514915495527882,1.1594527159690443e-05
plate,300.0,15.0,1.0463294755157824,0.012609634015786164
plate,300.0,16.0,1.0352487021880032,0.013878111062284976
plate,300.0,17.0,0.9865430102888035,0.02617776249110907
plate,300.0,18.0,0.8019262205336108,0.0009443041139557348
plate,300.0,19.0,0.7907358351969831,0.0009032857181705705
plate,300.0,20.0,0.7839760683413997,0.0007129007316316778
