config,rpm,AoA,CD,CDvar
plate,250.0,4.0,0.12026126115663065,8.799578436160481e-05
plate,250.0,5.0,0.13065481391216496,8.635109106041919e-05
plate,250.0,6.0,0.14166270993570862,8.268851969779964e-05
plate,250.0,7.0,0.15355390831964577,8.222471252057582e-05
plate,250.0,8.0,0.16538548263287545,8.107232420464761e-05
plate,250.0,9.0,0.17643331301777038,8.033943769089612e-05
plate,250.0,10.0,0.18923685949770203,7.944204388284155e-05
plate,250.0,11.0,0.2036664956499108,7.990291141144639e-05
plate,250.0,12.0,0.21743510217069809,7.728115414073354e-05
plate,250.0,13.0,0.23114424828442354,8.037525330216772e-05
plate,250.0,14.0,0.24883485102964756,0.00045037539354548123
plate,250.0,15.0,0.2798122874876716,0.0011321151800417143
plate,250.0,16.0,0.29441223162772556,0.001052327363561303
plate,250.0,17.0,0.30988305880629025,0.001101311752694926
plate,250.0,18.0,0.3469966013513712,0.0006442156772441582
plate,250.0,19.0,0.36435928256184885,0.0006591741187388919
plate,250.0,20.0,0.3956118991153634,0.0006252149102682547
plate,300.0,-5.0,0.051441519257468114,5.2885291106396244e-06
plate,300.0,-4.0,0.05883180880957805,5.638263780549393e-06
plate,300.0,-3.0,0.06725126849180169,7.79235244176848e-06
plate,300.0,-2.0,0.07182916773068986,7.956623833068192e-06
plate,300.0,-1.0,0.07657091385714686,8.193174454166087e-06
plate,300.0,0.0,0.08110172632394821,5.588335179566252e-06
plate,300.0,1.0,0.08739146409277887,5.876476000505638e-06
plate,300.0,2.0,0.09609597235224426,6.553008121826082e-06
plate,300.0,3.0,0.10659932142156732,4.272989097440694e-06
plate,300.0,4.0,0.11745783771000214,4.5289727248787695e-06
plate,300.0,5.0,0.12975540765826532,4.687194545075862e-06
plate,300.0,6.0,0.14303168367247854,4.769141842970899e-06
plate,300.0,7.0,0.15628480464458253,4.417253449009699e-06
plate,300.0,8.0,0.17018871502849203,3.412733311995234e-06
plate,300.0,9.0,0.18410027034087129,4.350217507686121e-06
plate,300.0,10.0,0.1985458823758597,4.3340583543829945e-06
plate,300.0,11.0,0.2136146155594254,4.418493639159637e-06
plate,300.0,12.0,0.22866262142701355,4.286385750516626e-06
plate,300.0,13.0,0.243254581544065,5.606757032695209e-06
plate,300.0,14.0,0.25605322141653597,6.740827234989432e-06
plate,300.0,15.0,0.2899100730176413,0.0007635874434261978
plate,300.0,16.0,0.30602519243204696,0.0008607295172652139
plate,300.0,17.0,0.32299067401383436,0.0008572178629858124
plate,300.0,18.0,0.3608934578813713,0.00041213873323112354
plate,300.0,19.0,0.3724966912756781,0.0004083808624002902
plate,300.0,20.0,0.3853604290536185,0.0003459646237734477
